Flavor;nrWorker;batch;learningRate;momentum;sync;sizeSeconds;time;acc;cost
intel14_v2;1;1;1e-06;0.99;sync;222;238.40569686889648;0.17671936245550204;0.07973346084170871
intel14_v2;1;1;1e-06;0.99;sync;666;682.4981927871704;0.2524531095996121;0.22825772892104254
intel14_v2;1;1;1e-06;0.99;sync;2000;2008.0744948387146;0.41723153961587833;0.6715893588293923
intel14_v2;1;1;1e-06;0.99;sync;6000;6004.975471973419;0.5484716463395329;2.0083306856266656
intel14_v2;1;1;1e-06;0.99;sync;18000;17703.80159187317;0.6059271270326899;5.920938087948693
intel14_v2;2;1;1e-05;0.95;sync;222;229.0757999420166;0.27076832640694165;0.13846359463161892
intel14_v2;2;1;1e-05;0.95;sync;666;670.4615731239319;0.3739596587949643;0.40525677308824326
intel14_v2;2;1;1e-05;0.95;sync;2000;2017.5186569690704;0.6042886367175764;1.2194779437679715
intel14_v2;2;1;1e-05;0.95;sync;6000;6016.046277999878;0.8001842200105754;3.636365750257704
intel14_v2;2;1;1e-05;0.95;sync;18000;17586.41549706459;0.9535336730037312;10.630011144892375
intel14_v2;2;1;1e-06;0.95;sync;222;235.29524302482605;0.36499947773084024;0.14222290245056152
intel14_v2;2;1;1e-06;0.95;sync;666;686.5317950248718;0.4150008458554468;0.41497032943725587
intel14_v2;2;1;1e-06;0.95;sync;2000;2006.6310758590698;0.5278911754319675;1.2128970058525934
intel14_v2;2;1;1e-06;0.95;sync;6000;6016.644003868103;0.6125361349042744;3.6367270423380536
intel14_v2;2;1;1e-06;0.95;sync;18000;17583.670161008835;0.7453141186899651;10.628351741765341
intel14_v2;2;2;0.0001;0.9;sync;222;231.0489730834961;0.16137565276903845;0.1396562681749132
intel14_v2;2;2;0.0001;0.9;sync;666;670.9367859363556;0.30005864938976445;0.40554401283264163
intel14_v2;2;2;0.0001;0.9;sync;2000;2010.1543180942535;0.5953842814422892;1.2150266100480822
intel14_v2;2;2;0.0001;0.9;sync;6000;6006.8513350486755;0.8492050636934073;3.630807918073866
intel14_v2;2;2;0.0001;0.9;sync;18000;17586.523661136627;0.9601482275201192;10.630076524064807
intel14_v2;2;1;0.0001;0.95;sync;222;233.55834293365479;0.4511846637140132;0.141173042839898
intel14_v2;2;1;0.0001;0.95;sync;666;682.4644770622253;0.5155890644306834;0.4125118616909451
intel14_v2;2;1;0.0001;0.95;sync;2000;2008.4073369503021;0.6567950142187314;1.2139706570010715
intel14_v2;2;1;0.0001;0.95;sync;6000;6003.312685012817;0.8535209098819968;3.6286690007188587
intel14_v2;2;1;0.0001;0.95;sync;18000;17592.885757923126;0.9471485515750822;10.633922058122423
intel14_v2;2;2;1e-06;0.99;async;222;230.79274797439575;0.40538287221998515;0.13950139433119033
